Inventory ID,Description,Item Group
TAG 45CF-27/3,BAG-5 CAD-FREE 3/32 X 3 TO COIL CLAMSHELL PACK,
TAG 45CF-27/5,BAG-5 CAD-FREE 3/32 X 5 TO COIL CLAMSHELL PACK,
TAG 45CF-28/1,BAG-5 CAD-FREE 1/8 X 1 TO COIL CLAMSHELL PACK,
TAG 45CF-28/5,BAG-5 CAD-FREE 1/8 X 5 TO COIL CLAMSHELL PACK,
TAG 5 04/2,"BCUP-3 1/16 X 20""",
TAG 5 04/2,"BCUP-3 1/16 X 20""",
TAG 5 04/2,"BCUP-3 1/16 X 20""",
TAG 5 05,"BCUP-3 3/32 X 36""",
TAG 5 05,"BCUP-3 3/32 X 36""",
TAG 5 05,"BCUP-3 3/32 X 36""",
TAG 5 05/2,"BCUP-3 3/32 X 18""",
TAG 5 06/2,"BCUP-3 1/8 X 20""",
TAG 5 06/2,"BCUP-3 1/8 X 20""",
TAG 5 06/2,"BCUP-3 1/8 X 20""",
TAG 5 06B,"BCUP-3 1/8 X .050 X 20""",
TAG 5 06B,"BCUP-3 1/8 X .050 X 20""",
TAG 5 06B,"BCUP-3 1/8 X .050 X 20""",
TAG 5 06B,"BCUP-3 1/8 X .050 X 20""",
TAG 5 06C,"BCUP-3 1/8 X 36""",
TAG 5 06C,"BCUP-3 1/8 X 36""",
TAG 5 06F,"BCUP-3 1/8 X .050 X 20""",
TAG 5 06F,"BCUP-3 1/8 X .050 X 20""",
TAG 5 06F,"BCUP-3 1/8 X .050 X 20""",
TAG 5 06F,"BCUP-3 1/8 X .050 X 20""",
TAG 50 01,"BAG-1A .030 X 36""",
TAG 50 01,"BAG-1A .030 X 36""",
TAG 50 031,"BAG-1A .040 X 36""",
TAG 50 04,"BAG-1A 1/16 X 36""",
TAG 50 04,"BAG-1A 1/16 X 36""",
TAG 50 044,"BAG-1A 5/64 X 18""",
TAG 50 06,"BAG-1A 1/8 X 36""",
TAG 50 06C,BAG-1A .030 X 50 TO COIL,
TAG 50 25,BAG-1A 1/16 X 50 TO COIL,
TAG 50 25,BAG-1A 1/16 X 50 TO COIL,
TAG 50 25,BAG-1A 1/16 X 50 TO COIL,
TAG 50-06/1,BAG-1A .030 X 1 TO COIL CLAMSHELL PACK,
TAG 50-06/5,BAG-1A .030 X 5 TO COIL CLAMSHELL PACK,
TAG 50-24/1,BAG-1A 1/16 X 1 TO COIL CLAMSHELL PACK,
TAG 50-24/3,BAG-1A 1/16 X 3 TO COIL CLAMSHELL PACK,
TAG 50-24/5,BAG-1A 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 50-24/5,BAG-1A 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 50CF 04,"BAG-6 1/16 X 36""",
TAG 50CF 04,"BAG-6 1/16 X 36""",
TAG 50CF 05,"BAG-6 3/32 X 36""",
TAG 50CF 25,BAG-6 1/16 X 50 TO COIL,
TAG 50CF-24/1,BAG-6 1/16 X 1 TO COIL CLAMSHELL PACK,
TAG 50CF-24/3,BAG-6 1/16 X 3 TO COIL CLAMSHELL PACK,
TAG 50CF-24/5,BAG-6 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 50CF-24/5,BAG-6 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 50N 022,"BAG-3 .040 X 18""",
TAG 50N 03,"BAG-3 .045 X 36""",
TAG 50N 04,"BAG-3 1/16 X 36""",
TAG 50N 05,"BAG-3 3/32 X 36""",
TAG 50N 058,"BAG-3 1/8 X 36""",
TAG 50N 058,"BAG-3 1/8 X 36""",
TAG 50N 06,BAG-3 .030 X 50 TO COIL,
TAG 50N 236,BAG-3 3/64 X 50 TO COIL,
TAG 50N 24/1,BAG-3 1/16 X 1 TO COIL CLAMSHELL PACK,
TAG 50N 24/3,BAG-3 1/16 X 3 TO COIL CLAMSHELL PACK,
TAG 50N 24/5,BAG-3 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 50N 24/5,BAG-3 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 50N 25,BAG-3 1/16 X 50 TO COIL,
TAG 50N 25,BAG-3 1/16 X 50 TO COIL,
TAG 50N 27/3,BAG-3 3/32 X 3 TO COIL CLAMSHELL PACK,
TAG 50N 29,BAG-3 3/16 X 50 TO COIL,
TAG 50N-06/1,BAG-3 .030 X 1 TO COIL CLAMSHELL PACK,
TAG 50N-06/3,BAG-3 .030 X 3 TO COIL CLAMSHELL PACK,
TAG 50N-06/5,BAG-3 .030 X 5 TO COIL CLAMSHELL PACK,
TAG 50N-06/5,BAG-3 .030 X 5 TO COIL CLAMSHELL PACK,
TAG 50N-236/1,BAG-3 3/64 X 1 TO COIL CLAMSHELL PACK,
TAG 50N-236/3,BAG-3 3/64 X 3 TO COIL CLAMSHELL PACK,
TAG 50N-236/5,BAG-3 3/64 X 5 TO COIL CLAMSHELL PACK,
TAG 50NCF 03,"BAG-24 .045 X 36""",
TAG 50NCF 04,"BAG-24 1/16 X 36""",
TAG 50NCF 044,"BAG-24 1/16 X 20""",
TAG 50NCF 06,BAG-24 .030 X 50 TO COIL,
TAG 50NCF 17,BAG-24 .045 X 50 TO COIL,
TAG 50NCF 25,BAG-24 1/16 X 50 TO COIL,
TAG 50NCF 25,BAG-24 1/16 X 50 TO COIL,
TAG 50NCF 27,BAG-24 3/32 X 50 TO COIL,
TAG 50NCF-06/5,BAG-24 .030 X 5 TO COIL CLAMSHELL PACK,
TAG 50NCF-236/1,BAG-24 3/64 X 1 TO COIL CLAMSHELL PACK,
TAG 50NCF-236/5,BAG-24 3/64 X 5 TO COIL CLAMSHELL PACK,
TAG 50NCF-236/5,BAG-24 3/64 X 5 TO COIL CLAMSHELL PACK,
TAG 50NCF-24/1,BAG-24 1/16 X 1 TO COIL CLAMSHELL PACK,
TAG 50NCF-24/1,BAG-24 1/16 X 1 TO COIL CLAMSHELL PACK,
TAG 50NCF-24/3,BAG-24 1/16 X 3 TO COIL CLAMSHELL PACK,
TAG 50NCF-24/5,BAG-24 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 50NCF-27/5,BAG-24 3/32 X 5 TO COIL CLAMSHELL PACK,
TAG 54CF 01,"BAG-13 .030 X 20""",
TAG 54CF 011,"BAG-13 .030 X 36""",
TAG 54CF 04,"BAG-13 1/16 X 36""",
TAG 54CF 04/18,"BAG-13 1/16 X 18""",
TAG 54CF 06,BAG-13 .030 X 50 TO COIL,
TAG 54CF 06,BAG-13 .030 X 50 TO COIL,
TAG 54CF/06,"BAG-13 1/8 X 36""",
TAG 54CF-06/1,BAG-13 .030 X 1 TO COIL CLAMSHELL PACK,
TAG 54CF-06/1,BAG-13 .030 X 1 TO COIL CLAMSHELL PACK,
TAG 54CF-06/3,BAG-13 .030 X 3 TO COIL CLAMSHELL PACK,
TAG 54CF-06/5,BAG-13 .030 X 5 TO COIL CLAMSHELL PACK,
TAG 54CF-09/1,BAG-13 .035 X 1 TO COIL CLAMSHELL PACK,
TAG 54CF-09/3,BAG-13 .035 X 3 TO COIL CLAMSHELL PACK,
TAG 54CF-236/1,BAG-13 3/64 X 1 TO COIL CLAMSHELL PACK,
TAG 54CF-236/3,BAG-13 3/64 X 3 TO COIL CLAMSHELL PACK,
TAG 54CF-236/5,BAG-13 3/64 X 5 TO COIL CLAMSHELL PACK,
TAG 54CF-24/3,BAG-13 1/16 X 3 TO COIL CLAMSHELL PACK,
TAG 54CF-24/5,BAG-13 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 56CF 03,"BAG-7 3/64 X 36""",
TAG 56CF 03,"BAG-7 3/64 X 36""",
TAG 56CF 032,"BAG-7 3/64 X 20""",
TAG 56CF 04,"BAG-7 1/16 X 36""",
